tag,tag_key,tag_value,osm_type,osm_id,name,name_ko,name_en,has_hangul_name,lat,lon,address
amenity=restaurant,amenity,restaurant,node,13956630943,할매순대국 암사점,,,Y,37.5508021,127.1406578,구천면로 377-1
shop=bakery,shop,bakery,node,12480374121,뚜레쥬르,뚜레쥬르,Tous les Jours,Y,37.6048921,127.0621276,이문로 206
amenity=pharmacy,amenity,pharmacy,node,8448937758,미소담약국,,,Y,37.6087958,127.0096900,보국문로 49
amenity=restaurant,amenity,restaurant,node,7835407587,찌개명가,,,Y,37.6098652,127.0768811,
amenity=doctors,amenity,doctors,node,5336475875,라앤미의원,라앤미의원,Raaenmi Clinic,Y,37.6702410,126.7619639,
amenity=restaurant,amenity,restaurant,node,13900608073,목동인생요리주점 토끼동굴,,,Y,37.5462724,126.8728630,목동중앙북로 88
healthcare=pharmacy,healthcare,pharmacy,node,13957670877,종로백세약국,,,Y,37.5712203,127.0022820,
amenity=restaurant,amenity,restaurant,node,12174724593,원순두부찌개,,,Y,37.6438115,126.9212641,진관3로 77
shop=convenience,shop,convenience,node,13911616003,세븐일레븐 군자가구거리점,,,Y,37.5548950,127.0827200,천호대로114길 15
amenity=restaurant,amenity,restaurant,node,13958829420,능이 마을,,,Y,37.5056621,127.0983575,백제고분로33길 6-31
amenity=restaurant,amenity,restaurant,node,13930571200,오복 순대국,,,Y,37.5970032,126.9479070,간호대로 26
amenity=restaurant,amenity,restaurant,node,13854683217,따봉하우스,,,Y,37.5913797,127.0563152,"경희대로4길 73, 1층 (이문동)"
amenity=restaurant,amenity,restaurant,node,12074354870,아우내병천순대,,,Y,37.5889959,127.0600650,망우로14길 14
amenity=restaurant,amenity,restaurant,node,13091179638,말뚝곱창,,,Y,37.4840701,126.9017995,
railway=stop,railway,stop,node,9459739647,성신여대입구,성신여대입구,Sungshin Women's University,Y,37.5925679,127.0164561,
amenity=restaurant,amenity,restaurant,node,12074594643,유미카츠 건대점,,,Y,37.5426597,127.0710392,능동로13길 11
amenity=restaurant,amenity,restaurant,node,12079472937,미각 아구동태해물찜.탕,,,Y,37.6212056,126.9254623,연서로 281
amenity=restaurant,amenity,restaurant,node,11436629216,신사부대찌개 품격삼겹살,,,Y,37.5305934,126.8983624,
amenity=restaurant,amenity,restaurant,node,13946954242,멘야호타루,,,Y,37.5373700,126.9448263,서울특별시 마포구 마포대로4가길 53
